"Application: Tecan i-control","...2","...3","...4","Tecan i-control , 1.5.14.0","...6","...7","...8","...9","...10","...11","...12","...13"
"Device: infinite 500",NA,NA,NA,"Serial number: 901001915",NA,NA,NA,"Serial number of connected stacker:",NA,NA,NA,NA
"Firmware: V_1.30_05/2007_I500F (May 18 2007/14.36.50)",NA,NA,NA,"MAI, V_1.30_05/2007_I500F (May 18 2007/14.36.50)",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Date:","42325",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Time:","9:23:59 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"System",NA,NA,NA,"SUNY-BDA5649A54",NA,NA,NA,NA,NA,NA,NA,NA
"User",NA,NA,NA,"SUNY-BDA5649A54\Aaron",NA,NA,NA,NA,NA,NA,NA,NA
"Plate",NA,NA,NA,"Corning 96 Flat Bottom Transparent Polystyrol  [COS96ft.pdfx]",NA,NA,NA,NA,NA,NA,NA,NA
"Plate-ID (Stacker)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comment",NA,NA,NA,"LAA-E2-S1-T12-P1",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Label: OD600_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mode",NA,NA,NA,"Absorbance",NA,NA,NA,NA,NA,NA,NA,NA
"Wavelength",NA,NA,NA,"600","nm",NA,NA,NA,NA,NA,NA,NA
"Bandwidth",NA,NA,NA,"0","nm",NA,NA,NA,NA,NA,NA,NA
"Number of Flashes",NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA
"Settle Time",NA,NA,NA,"0","ms",NA,NA,NA,NA,NA,NA,NA
"Start Time:","11/17/2015 9:24:00 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Temperature: 34.6 °C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<>","1",2,3,"4","5",6,7,"8",9,10,11,12
"A","0.13910000026226044",0.148699998855591,0.108800001442432,"4.2599998414516449E-2","0.56290000677108765",0.070200003683567,0.098300002515316,"9.0000003576278687E-2",0.0392999984323978,0.0399000011384487,0.0410000011324883,0.0423000007867813
"B","0.14309999346733093",0.167400002479553,0.0945999994874001,"4.2599998414516449E-2","0.31920000910758972",0.0948000028729439,0.0975999981164932,"8.150000125169754E-2",0.0399000011384487,0.0386999994516373,0.0403000004589558,0.0373999997973442
"C","0.15590000152587891",0.308200001716614,0.110600002110004,"4.2500000447034836E-2","0.24310000240802765",0.0847999975085258,0.288199990987778,"0.16920000314712524",0.0427000001072884,0.0405000001192093,0.0408999994397163,0.0397000014781952
"D","4.8399999737739563E-2",0.0401999987661839,0.0421999990940094,"4.1999999433755875E-2","4.1900001466274261E-2",0.0401000007987022,0.0414000004529953,"0.16439999639987946",0.0443000011146069,0.046399999409914,0.0425999984145164,0.0403999984264374
"E","4.3200001120567322E-2",0.0408999994397163,0.0419999994337559,"5.6699998676776886E-2","5.5799998342990875E-2",0.0419999994337559,0.0403000004589558,"0.20029999315738678",0.0419999994337559,0.0417000018060207,0.0430999994277954,0.0406000018119812
"F","0.10589999705553055",0.0414999984204769,0.0410999990999699,"0.13079999387264252","4.4100001454353333E-2",0.0450000017881393,0.0524000003933907,"0.20360000431537628",0.0513000003993511,0.0441000014543533,0.0441999994218349,0.0966999977827072
"G","0.21629999577999115",0.225600004196167,0.2533999979496,"4.5600000768899918E-2","4.4199999421834946E-2",0.226799994707108,0.0401000007987022,"0.20160000026226044",0.0432999990880489,0.0439000017940998,0.0593000017106533,0.0395999997854233
"H","0.22589999437332153",0.227400004863739,0.247099995613098,"4.3400000780820847E-2","4.0899999439716339E-2",0.229399994015694,0.0405000001192093,"0.22980000078678131",0.0425000004470348,0.0423000007867813,0.0421000011265278,0.0483000017702579
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"End Time:","11/17/2015 9:24:42 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Movement",NA,NA,NA,"Move Plate Out",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Custom Action",NA,NA,NA,"Take Plate",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Movement",NA,NA,NA,"Move Plate In",NA,NA,NA,NA,NA,NA,NA,NA
